PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
AL-W-15007,"THE WINERY AT PEPPER PLACE, LP JAHN M. COPPYA, CHARLES T. VIZZINA, GAYLE TEAL DICK, GP'S",,2801 2ND AVE SUITE B,BIRMINGHAM,AL,35233,JEFFERSON
AL-W-15008,"WAKEFIELD ENTERPRISES, INC.",HODGES VINEYARDS,230 LEE RD 71,CAMP HILL,AL,36850,TALLAPOOSA
AL-W-15009,"HIDDEN MEADOW VINEYARD, L.L.C.",,664 COUNTY ROAD 606,JEMISON,AL,35085,CHILTON
AL-W-15010,LEE INVESTMENT CONSULTANTS LLC,MARAELLA VINEYARDS & WINERY,5296 OLD US HWY 278,HOKES BLUFF,AL,35903,ETOWAH
AL-W-15011,FRUITHURST WINERY LLC,THE FRUITHURST WINERY CO.,27091 COUNTY ROAD 49,FRUITHURST,AL,36262,CLEBURNE
AL-W-15012,"FOLKLORE BREWING & MEADERY, LLC",FOLKLORE BREWING & MEADERY,153 MARY LOU LN STE 1,DOTHAN,AL,36301,HOUSTON
AL-W-20316,FORTITUDINE VINEYARD LLC,,280 VINYARD LN,EUTAW,AL,35462,GREEN
AL-W-20426,"SOUTHEAST WINE, LLC",OZAN VINEYARD AND CELLARS,173 HIGHWAY 301,CALERA,AL,35040,SHELBY
AL-W-21001,"LEWIS LAKES VINEYARDS, LLC",LEWIS LAKES VINEYARDS,1075 CHELSEA RD,COLUMBIANA,AL,35051,SHELBY
AL-W-21002,THE FAIR HOPE BREWING COMPANY LLC,THE FAIR HOPE BREWING COMPANY,914 NICHOLS AVE,FAIRHOPE,AL,36532,BALDWIN
AL-W-21004,"CHATEAU MONTEVALLO, LLC",,1280 HIGHWAY 89,MONTEVALLO,AL,35115,SHELBY
AL-W-21005,"BRYANT VINEYARD,LLC",BRYANT VINEYARD,1454 GRIFFITT BEND ROAD,TALLADEGA,AL,35160,TALLADEGA
AL-W-21006,"SINGIN' RIVER BREWING COMPANY, LLC",,526 E COLLEGE ST,FLORENCE,AL,35630,LAUDERDALE
AL-W-21007,JOHN W. MCCOMBS JR.,HOME BOY BREWING COMPANY & WINERY,17714 W US HIGHWAY 98 UNIT C,FOLEY,AL,36535,BALDWIN
AL-W-21008,"RED CLAY BREWING COMPANY, LLC",,704 N RAILROAD AVE,OPELIKA,AL,36801,LEE
AL-W-21009,LOG CABIN VINEYARDS LLC,,12774 HIGHWAY 219,SELMA,AL,36701,PERRY
AL-W-21010,"SALTY NUT BREWERY, LLC",SALTY NUT WINERY,2406 CLINTON AVE W,HUNTSVILLE,AL,35805,MADISON
AL-W-21012,"BLACK WARRIOR BREWING COMPANY, LLC",,2216 UNIVERSITY BLVD,TUSCALOOSA,AL,35401,TUSCALOOSA
AL-W-21013,"STRAIGHT TO ALE BRANDS, INC.",STRAIGHT TO ALE BRANDS,"2610 CLINTON AVE, NW",HUNTSVILLE,AL,35805,MADISON
AL-W-21014,"CAT-N-BIRD WINERY, LLC",CAT-N-BIRD WINERY,11661 OLD HIGHWAY 280,CHELSEA,AL,35043,SHELBY
AL-W-21015,PIPPIN FAMILY VINEYARD AND WINERY LLC,SOUTH RIDGE WINE,3297 LIVE OAK RD,LUVERNE,AL,36049,ALABAMA
AL-W-21016,"GREEN BUS BREWING, L.L.C.",,206 EUSTIS AVE SE,HUNTSVILLE,AL,35801,MADISON
AL-W-21017,"CAHABA BREWING COMPANY, LLC",,4500 5TH AVE S BLDG C,BIRMINGHAM,AL,35222,JEFFERSON
AL-W-21018,"TAYLOE BEND DISTILLING COMPANY, LLC",TAYLOE BEND,4425 3RD AVE S,BIRMINGHAM,AL,35222,JEFFERSON
AL-W-21019,"HIGH COUNTRY CELLARS, LLC",,849 ALMON ST,HEFLIN,AL,36264,CLEBURNE
AL-W-21020,A CORBIN COMPANY LLC,CORBIN FARMS WINERY,800 HIGHWAY 87,CALERA,AL,35040,SHELBY
AL-W-21021,"GOAT ISLAND CRAFT BREWING, LLC",,1646 A JOHN H COOPER DR SE,CULLMAN,AL,35055,CULLMAN
AL-W-21022,LAKE POINT VINEYARD AND WINERY LLC,,674 LAKE POINT DR,MATHEWS,AL,36052,MONTGOMERY
AL-W-21023,"AVONDALE BREWING COMPANY, LLC",,201 41ST ST S,BIRMINGHAM,AL,35233,JEFFERSON
AL-W-21024,TALLULAH BREWING COMPANY LLC,,1804 S 4TH AVE,JASPER,AL,35501,WALKER
AL-W-21027,INNERSPACE BREWING COMPANY,,2414 CLINTON AVE W,HUNTSVILLE,AL,35805,MADISON
AL-W-21028,JUNAVELLI WINERY LLC,,357 GUMTREE LANE LN,BREWTON,AL,36426,ESCAMBIA
AL-W-21029,TWISTED BARLEY LLC,TWISTED BARLEY BREWING CO,19 STREET W BLDG 520,JASPER,AL,35501,USA
AL-W-21030,"SILURIA BREWING COMPANY, LLC",,145 1ST AVE W,ALABASTER,AL,35007,SHELBY
AL-W-21031,"ROBYN'S GARDEN, INC.",,200 OAKWOOD AVE NE STE A & B,HUNTSVILLE,AL,35811,MADISON
AL-W-21033,"RISERS MILL FARM, LLC",NOVI VINEYARDS & WINERY,6361 RISERS MILL RD,ALPINE,AL,35014,TALLADEGA
AL-W-21034,"G.S. BREWING, LLC",BIG BEACH BREWING COMPANY,300 E 24TH AVE,GULF SHORES,AL,36542,BALDWIN
AL-W-21035,"HIGH FALLS VINEYARDS, LLC",HIGH FALLS VINEYARDS,1 COUNTY 368 RD,ALBERTVILLE,AL,35951,DEKALB
AL-W-21036,"DRUID CITY BREWING COMPANY, LLC",DRUID CITY BREWING COMPANY,700 14TH ST,TUSCALOOSA,AL,35401,TUSCALOOSA
AL-W-21037,"BRAIDED RIVER BREWING COMPANY, LLC",,420 ST LOUIS ST,MOBILE,AL,36602,MOBILE
AL-W-21038,"YELLOWHAMMER BREWING, INC.",,2600 CLINTON AVE W,HUNTSVILLE,AL,35805,
AL-W-21039,"THE HUNTSVILLE BREWERS COOPERATIVE, LLC",SOUTHERN BREWERS CO-OP,3414 GOVERNORS DR SW STE 605,HUNTSVILLE,AL,35805,MADISON
AL-W-21040,"LAKE WEDOWEE WINERY, LLC",LAKE WEDOWEE BREWING,29 MAIN ST S,WEDOWEE,AL,36278,RANDOLPH
AL-W-21041,GUNTERSVILLE BREWERS COOPERATIVE LLC,SOUTHERN BREWERS CO-OP,299 SCOTT ST,GUNTERSVILLE,AL,35976,USA
AL-W-21042,BLOOM WINES LLC,,16314 HIGHWAY 72 HWY,ROGERSVILLE,AL,35652,LAUDERDALE
AL-W-21043,OLD MAJESTIC BREWING COMPANY  LLC,OLD MAJESTIC BREWING,656 SAINT LOUIS ST,MOBILE,AL,36602,MOBILE
AL-W-21044,RAVENWOOD MEADERY LLC,,2211 SEMINOLE DR SW STE 2069,HUNTSVILLE,AL,35805,MADISON
AL-W-21045,TISS VALLEY WINERY & VINEYARD L.L.C.,TISS VALLEY WINERY & VINEYARD L.L.C.,279 COLLEGE ST,MIDWAY,AL,36053,BULLOCK
AL-W-21046,"GHOST TRAIN BREWING COMPANY, INC.",,3501 1ST AVE S,BIRMINGHAM,AL,35222,USA
AL-W-21047,THOMAS FRANKLIN GILMORE SR,GILMORE VINEYARDS,783 MAUDE TOWER RD,LAWLEY,AL,36793,BIBB
AL-W-21048,LOUD HOUSE CONSULTANTS LLC,LOUD HOUSE BARBERSHOP & TAPROOM,4925 UNIVERSITY DR NW STE 158,HUNTSVILLE,AL,35816,MADISON
AL-W-21049,BERRY BLUE WINERY LLC,BERRY BLUE WINERY LLC,545 FERGUSON RD,CHATOM,AL,36518,WASHINGTON
AL-W-21050,"DIRT ROAD WINES, LLC",DIRT ROAD WINES,1304 JACKSON GRISWOLD RD,FITZPATRICK,AL,36029,BULLOCK
AL-W-21051,IVY LEAGUE MEADERY LLC,IVY LEAGUE BREW,633 11TH AVE SW,ALABASTER,AL,35007,
AL-W-21052,"OAK POINTE WINES, LLC",,10176 COUNTY ROAD 32,FAIRHOPE,AL,36532,BALDWIN
AL-W-21053,"ROLLING ROCK VINEYARD, LLC",,2461 BUFFINGTON RD,BOAZ,AL,35956,ETOWAH
AL-W-21054,"UPROOT, LLC",UPROOT BREWING COMPANY,2616 3RD AVE S,BIRMINGHAM,AL,35233,JEFFERSON
AL-W-21055,HEAVENLY VIEW GOURMET HONEY AND FINE MEADS LLC,,54 MOSS VIEW RD,SECTION,AL,35771,JACKSON
AL-W-21056,"SOUTHERN GROVE VINEYARDS, LLC",,10176 COUNTY ROAD 32,FAIRHOPE,AL,36532,
AL-W-21057,LAFAMIGLIA LLC,LAFAMIGLIA,116 RIGSBY CIR UNIT A,TONEY,AL,35773,MADISON
AL-W-21058,SIPSEY VINEYARD AND WINERY LLC,,24972 HWY 195 BLDG,DOUBLE SPRINGS,AL,35553,WINSTON
AL-W-21059,"MAIN CHANNEL, LLC",MAIN CHANNEL,210 S SAND MOUNTAIN DR,ALBERTVILLE,AL,35950,MARSHALL
AL-W-21060,SEIDR BREWING LLC,,14 1ST AVE NW,ARAB,AL,35016,MARSHALL
AL-W-21061,OLD BLACK BEAR BREWING COMPANY LLC,OLD BLACK BEAR BREWING COMPANY,311 S MARION ST,ATHENS,AL,35611,LIMESTONE
AL-W-21062,JOHN EMERALD DISTILLING COMPANY LLC,JOHN EMERALD,706 N RAILROAD AVE,OPELIKA,AL,36801,LEE
AR-W-15000,KURT NEUMEIER,NEUMEIER WINERY,3406 SWISS FAMILY DR,ALTUS,AR,72821,FRANKLIN
AR-W-15001,"THE WINERY OF HOT SPRINGS, INC.",THE WINERY OF HOT SPRINGS,1503 CENTRAL AVE,HOT SPRINGS,AR,71901,GARLAND
AR-W-15002,"E & D ENDEAVORS, INC.",KEELS CREEK WINERY,3185 E VAN BUREN,EUREKA SPRINGS,AR,72632,CARROLL
AR-W-15006,DONLEY GERALD HELMS,DEPARTEE CREEK WINERY,2610 JACKSON 1,BRADFORD,AR,72020,WHITE
AR-W-15009,TONTITOWN WINERY LLC,,335 N BARRINGTON RD,SPRINGDALE,AR,72762,WASHINGTON
AR-W-15012,"POINT REMOVE WINERY, LLC.",POINT REMOVE CELLARS,102 S CRESTLINER DR,MORRILTON,AR,72110,CONWAY
AR-W-15013,"SCHNEIDER ENDEAVORS, INC.",RAILWAY WINERY,4937 HIGHWAY 187,EUREKA SPRINGS,AR,72631,CARROLL
AR-W-20331,"MOVIE HOUSE WINERY, LLC",MOVIE HOUSE WINERY,99 SANDTOWN RD,MORRILTON,AR,72110,CONWAY
AR-W-21002,"AN ENCHANTING EVENING, LLC",AN ENCHANTING EVENING,29300 HIGHWAY 300,ROLAND,AR,72135,PULASKI
AR-W-21003,RUSTY TRACTOR VINEYARDS LLC,RUSTY TRACTOR VINEYARDS,1 SUNSET LAKE DR,LITTLE ROCK,AR,72210,PULASKI
AR-W-21004,"BARRELS UNLIMITED, INC",,327 OUACHITA AVE,HOT SPRINGS,AR,71901,GARLAND
AR-W-21005,BLUE TURTLE WINERY LLC,,19966 BUG SCUFFLE RD,WEST FORK,AR,72774,US
AR-W-21006,JOHN D. COOPER,HUZZAH RIDGE WINERY,1800 TRIPLE LN,HARRISON,AR,72601,BOONE
AR-W-21007,BOBROOK FARMS LLC,,13810 COMBEE LN,ROLAND,AR,72135,PULASKI
AR-W-21008,DIONYSUS WINE & BREW LLC,,9017 HIGHWAY 186,ALTUS,AR,72821,FRANKLIN
AR-W-21009,"SASSAFRAS SPRINGS VINEYARD, LLC",,6461 E GUY TERRY RD,SPRINGDALE,AR,72764,WASHINGTON
AR-W-21010,HUZZAH RIDGE LLC,,504 OLD BELLEFONTE RD,HARRISON,AR,72601,BOONE
AR-W-21011,"RAIMONDO WINERY, LLC",,3021 E BROADWAY ST,NORTH LITTLE ROCK,AR,72114,
AR-W-21013,ARKANSAS MEADERY LLC,ARKANSAS MEADERY,2625 NW AVILLA VINCINTAGE RD,ALEXANDER,AR,72002,SALINE
AR-W-21014,MICHAEL JAMES POST,MOUNT BETHEL WINERY,5014 MOUNT BETHEL DR,ALTUS,AR,72821,FRANKLIN
AR-W-21015,JKC CELLARS LLC,,7709 ELLIS ST,FORT SMITH,AR,72916,SEBASTIAN
AR-W-21016,"SHADOW ELM MEADERY, LLC",SHADOW ELM MEADERY,18674 EAGLES BEND RD,SPRINGDALE,AR,72764,WASHINGTON
AR-W-21019,"FARAWAY VINEYARD, LLC",FARAWAY VINEYARD,161 MOONLIGHT TER,GAMALIEL,AR,72537,BAXTER
AR-W-21021,"JACOB'S CELLAR, LLC",JACOB'S CELLAR,4551 WINE COUNTRY LN,ALTUS,AR,72821,FRANKLIN
AR-W-21022,THE BLUEBIRD RANCH WINERY CORPORATION,THE BLUEBIRD RANCH WINERY,2525 HIGHWAY 65 S,CLINTON,AR,72031,VAN BUREN
AR-W-21023,JUNIPER TREE MEADERY LLC,JUNIPER TREE MEADERY,2112 358 HWY,PARAGOULD,AR,72450,GREENE
AR-W-21025,"CMG VENTURES, LLC",URBAN CELLAR WINERY,2901 E ZION RD STE 12,FAYETTEVILLE,AR,72703,UNITED STATES
AR-W-21026,A&A ESTATE L.L.C.,A&A ESTATE CIDERY,21 E 19TH ST,FAYETTEVILLE,AR,72701,WASHINGTON
AR-W-21028,"THE ROGUE ROUNDABOUT, INC.",THE ROGUE ROUNDABOUT,804 CHESTNUT ST,CONWAY,AR,72032,
AR-W-21029,BRILLE BEVERAGES LLC,BRILLE MEAD COMPANY,3895 N ORACLE RD STE B,TUCSON,AR,85705,
AR-W-21030,"C&C WINERY, LLC",,920 W HWY 89 BLDG B,CABOT,AR,72023,PULASKI
AR-W-21031,"BLUE DANE WINERY, LLC",,214 RIVERVIEW RD,MORRILTON,AR,72110,
AR-W-21032,"FROZEN OASIS, LLC",FROZEN OASIS LLC,7801 ELLIS ST,FORT SMITH,AR,72916,SEBASTIAN
AR-W-26,"COWIE WINE CELLARS, INC.",COWIE WINE CELLARS,101 N CARBON CITY RD,PARIS,AR,72855,LOGAN
AR-W-31,"CHATEAU AUX ARC, LLC",DBA CHATEAU AUX ARC,8045 HIGHWAY 186,ALTUS,AR,72821,FRANKLIN
AR-W-32,"POST WINERY, INC.",POST WINERY,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,FRANKLIN
AR-W-34,"WIEDERKEHR WINE CELLARS, INC.",WIEDERKEHR WINE CELLARS,3324 SWISS FAMILY DR,WIEDERKEHR VILLAGE,AR,72821,FRANKLIN
AR-W-35,PAUL J. POST,SAX WINERY,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,FRANKLIN
AR-WS-21001,STORM BREWERY LLC,BLACK APPLE CROSSING,321 E EMMA AVE,SPRINGDALE,AR,72764,WASHINGTON
AR-WS-21002,C NOTE INC.,SQZBX,238 OUACHITA AVE,HOT SPRINGS NATIONAL PARK,AR,71901,GARLAND
AZ-W-15000,"PAGE SPRINGS CELLARS, INC.",PAGE SPRINGS CELLARS,1500 N PAGE SPRINGS RD,CORNVILLE,AZ,86325,YAVAPAI
AZ-W-15001,CHRISTOPHER CARY HAMILTON,RANCHO ROSSA VINEYARDS,201 CATTLE RANCH LN.,ELGIN,AZ,85611,SANTA CRUZ
AZ-W-15003,"PARADISE PRODUCE, LLC",FREITAS VINEYARD,1575 PARADISE DR,COTTONWOOD,AZ,86326,YAVAPAI
AZ-W-15004,KEELING SCHAEFER VINEYARDS LLC,,10277 E ROCK CREEK LN,PEARCE,AZ,85625,COCHISE
AZ-W-15007,BOSTOCK WINERY INC,BOSTOCK WINERY,3248 HIGHWAY 82,SONOITA,AZ,85637,SANTA CRUZ
AZ-W-15008,"ALCANTARA, L.L.C.",ALCANTARA VINEYARDS & WINERY,3445 S GRAPEVINE WAY,COTTONWOOD,AZ,86326,YAVAPAI
AZ-W-15010,"SYCAMORE CANYON WINERY, LLC",SYCAMORE CANYON WINERY,2620 DANCING APACHE RD,CORNVILLE,AZ,86325,YAVAPAI
AZ-W-15011,"CORONADO VINEYARDS, INC.",CORONADO VINEYARDS,2909 E COUNTRY CLUB DR,WILLCOX,AZ,85643,COCHISE
AZ-W-15012,"SU VINO WINERY SCOTTSDALE, INC.",SU VINO WINERY,16099 N 82ND ST STE B9,SCOTTSDALE,AZ,85260,MARICOPA
AZ-W-15016,"LIGHTNING RIDGE CELLARS, LLC",,2368 HIGHWAY 83,ELGIN,AZ,85611,SANTA CRUZ
AZ-W-15017,CLEAR CREEK VINEYARD AND WINERY LLC,,4053 E HIGHWAY 260,CAMP VERDE,AZ,86322,YAVAPAI
AZ-W-15018,ZEMPER RESERVE LLC,STUDIO VINO,1825 E GUADALUPE RD STE 105,TEMPE,AZ,85283,MARICOPA
AZ-W-15019,"WILHELM FAMILY VINEYARDS, LLC",WILHELM FAMILY VINEYARDS,21 MOUNTAIN RANCH DR,ELGIN,AZ,85611,SANTA CRUZ
AZ-W-15021,"ARIZONA STRONGHOLD VINEYARDS, LLC",,4700 OLD HIGHWAY 279,CAMP VERDE,AZ,86322,YAVAPAI
AZ-W-15022,"PILLSBURY WINE COMPANY, LLC",PILLSBURY WINE COMPANY,6450 S BENNETT PL,WILLCOX,AZ,85643,COCHISE
AZ-W-15023,ODYSSEY CELLARS INC.,TANTRUM WINES,8401 BELL RANCH RD,WILLCOX,AZ,85643,COCHISE
AZ-W-15024,"ARRIBA, LLC.",TOUGH COUNTRY WINERY,6642 S 38TH ST,PHOENIX,AZ,85042,MARICOPA
AZ-W-15029,"JEROME WINERY, INC",BITTER CREEK WINERY,240 HULL ST,JEROME,AZ,86331,
AZ-W-15031,"LAWRENCE DUNHAM VINEYARDS, LLC",LAWRENCE DUNHAM VINEYARDS,13922 S KUYKENDALL CUTOFF RD,PEARCE,AZ,85625,COCHISE
AZ-W-15032,"GERALD, INC.",ROSE PEAK VINEYARDS,17251 W ASH CREEK RD,WILLCOX,AZ,85643,COCHISE
AZ-W-15033,"CALLAGHAN VINEYARDS, L.L.C.",CALLAGHAN VINEYARDS,336 ELGIN RD,ELGIN,AZ,85611,SANTA CRUZ
AZ-W-15035,FRANK A. CUDA,REUNION CAMP JUNIPERWOOD RANCH WINERY,7775 W STOCKMAN RD,ASH FORK,AZ,86320,YAVAPAI
AZ-W-15036,BARBARA CARR AND ROCKY CARR,SONORAN DESERT WINERY,9385 S WILTBANK RD,TUCSON,AZ,85736,PIMA
AZ-W-15037,"CARLSON CREEK VINEYARD, LLC",CARLSON CREEK VINEYARD,4574 E ROBBS RD,WILLCOX,AZ,85643,COCHISE
AZ-W-15038,"CADUCEUS CELLARS, LLC",CADUCEUS CELLARS,103 DUNDEE AVE,JEROME,AZ,86331,YAVAPAI
AZ-W-15039,HAMMELMAN WINES LLC,HAMMELMAN WINES,130 S HASKELL AVE,WILLCOX,AZ,85643,COCHISE
AZ-W-15041,"HANNAH'S HILL ENTERPRISES, LLC",HANNAH'S HILL VINEYARD,3989 HIGHWAY 82,ELGIN,AZ,85611,SANTA CRUZ
AZ-W-15044,EARLE'S CUSTOM WINES INC.,YUMA'S MAIN SQUEEZE,251 S MAIN ST,YUMA,AZ,85364,YUMA
AZ-W-15045,"SUSTAINABLE PACKAGING SOLUTIONS, LLC",KIND VINES,2225 N GEMINI DR W6,FLAGSTAFF,AZ,86001,COCONINO
AZ-W-15046,MARIE PETROFF,PLEASANT VALLEY WINERY,3023 WALNUT CREEK RD,YOUNG,AZ,85554,GILA
AZ-W-15049,"SUPERSTITION MEADERY, LLC",SUPERSTITION MEADERY,6678 INTER CAL WAY,PRESCOTT,AZ,86301,YAVAPAI
AZ-W-15050,SILVER STRIKE WINERY LLC,SILVER STRIKE WINERY,334 E ALLEN ST,TOMBSTONE,AZ,85638,COCHISE
AZ-W-15053,"HOFMANN ESTATE VINEYARDS AND WINERY, LLC",HOFMANN VINEYARDS,9399 N HIGH LONESOME RD,MC NEAL,AZ,85617,COCHISE
AZ-W-15054,DEL RIO SPRINGS VINEYARD LLP,DEL RIO SPRINGS VINEYARD,974 N GRANDVIEW,PAULDEN,AZ,86334,YAVAPAI
AZ-W-15057,"MERKIN ENTERPRISES, INC.",MERKIN VINEYARDS,770 N VERDE HEIGHTS DR,COTTONWOOD,AZ,86326,YAVAPAI
AZ-W-15060,"FOUR EIGHT WINEWORKS, INC",FOUR EIGHT WINEWORKS,4626 OLD HWY 279,CAMP VERDE,AZ,86322,YAVAPAI
AZ-W-15062,"SEDONA ORCHARDS, LLC",,145 COPPER CLIFFS LN,SEDONA,AZ,86336,YAVAPAI
AZ-W-15063,"PLEASANT VALLEY FARMS, LLC",BRUZZI VINEYARD,47209 N HWY 288,YOUNG,AZ,85554,GILA
AZ-W-15064,"INIQUUS CELLARS, LLC",,4626 OLD HWY 279,CAMP VERDE,AZ,86322,YAVAPAI
AZ-W-15067,GRANITE CREEK VINEYARDS LLC,GRANITE CREEK VINEYARDS,1145 E GRANITE CREEK LN,CHINO VALLEY,AZ,86323,YAVAPAI
AZ-W-20307,"JORVE MACMILLAN VINEYARDS, L.L.C.",ZARPARA VINEYARD,6777 S ZARPARA LN,WILLCOX,AZ,85643,COCHISE
AZ-W-20496,"ARIZONA HOPS AND VINES, LLC",ARIZONA HOPS AND VINES,3450 HWY 82,SONOITA,AZ,85637,SANTA CRUZ
AZ-W-20540,KVB ENTERPRISE LLC,,7240 E MAIN ST STE C100,SCOTTSDALE,AZ,85251,MARICOPA
AZ-W-21001,"ARIDUS WINE COMPANY, LLC",,1126 N HASKELL AVE,WILLCOX,AZ,85643,COCHISE
AZ-W-21003,"CADUCEUS CELLARS, LLC",CADUCEUS CELLARS,760 N VERDE HEIGHTS DR,COTTONWOOD,AZ,86326,YAVAPAI
AZ-W-21004,"FLYING LEAP VINEYARDS, INC.",FLYING LEAP VINEYARDS,342 ELGIN RD,ELGIN,AZ,85611,
AZ-W-21005,HUGOVINO INC,NOSH,4080 W RAY RD STE 26,CHANDLER,AZ,85226,MARICOPA
AZ-W-21006,PROTEC L.L.C.,CASAVINO WINERY,12005 N SAGUARO BLVD STE 101,FOUNTAIN HILLS,AZ,85268,MARICOPA
AZ-W-21007,"CELLA WINERY, L.L.C.",,6927 E BROOKS BLVD,KINGMAN,AZ,86401,
AZ-W-21008,"PRESCOTT WINERY, LLC",PRESCOTT WINERY,8910 E MARROW RD,PRESCOTT VALLEY,AZ,86315,AZ
AZ-W-21009,PROTEC L.L.C.,TWISTED ROSE WINERY,15040 N NORTHSIGHT BLVD STE 104,SCOTTSDALE,AZ,85260,MARICOPA
AZ-W-21010,"BEAR TRACK, INC.",BEAR TRACK BISTRO AND WINERY,4743 E SUNRISE DR,TUCSON,AZ,85718,PIMA
AZ-W-21011,HALCYON VINEYARDS LLC,RUNE WINES,3969 HIGHWAY 82,SONOITA,AZ,85637,SANTA CRUZ
AZ-W-21012,WAGON WHEEL WINERY LLC,WAGON WHEEL WINERY,7887 E OLD ROUTE 66,WILLIAMS,AZ,86046,COCONINO
AZ-W-21014,"PASSION CELLARS, LLC",PASSION CELLARS,3052 N FORT GRANT RD,WILLCOX,AZ,85643,
AZ-W-21015,AXIOM BREWING COMPANY LLC,ARIZONA MEAD COMPANY,6503 W FRYE RD STE 12,CHANDLER,AZ,85226,
AZ-W-21016,RAY STEPHENS AND JULIE A. LA MAGNA,TRIDENT WINERY,3465 HARPS WAY,PINE,AZ,85544,USA
